name,created,addresses_road_name,addresses_start_street_number,addresses_neighborhood_id,addresses_neighborhood_name,addresses_district_id,addresses_district_name,addresses_zip_code,addresses_town,type_of_contact,phone_number,hotel_Rating,geo_epgs_25831_x,geo_epgs_25831_y,geo_epgs_4326_x,geo_epgs_4326_y,month_created,year_created
Alberg Sant Jordi Lluria ,2015-07-23 13:41:46+00:00,C Roger de Llúria,40,7,la Dreta de l'Eixample,2,Eixample,8009,BARCELONA,Tel.,933023901,0,43065250291600496,4582613270737740,4139206371135130,21705001263052900,7,2015
Apartament Turistic Silver ,1996-09-16 22:00:00+00:00,Bretón de los Herreros,26,31,la Vila de Gràcia,6,Gràcia,8012,BARCELONA,Centraleta,932189100,0,42904918425991400,4583744686368490,4140211410663970,215119145633249,9,1996
La Residencia de Diagonal 7945,1997-09-19 22:00:00+00:00,Av Diagonal,433,8,l'Antiga Esquerra de l'Eixample,2,Eixample,8036,BARCELONA,Tel.,932022175,0,42904957544074600,458286894591083,4139422667626570,21512987567989100,9,1997
Residencia Universitaria Pere Felip Monlau,1997-04-04 22:00:00+00:00,C Sant Oleguer,20,1,el Raval,1,Ciutat Vella,8001,BARCELONA,Tel.,933943100,0,4307381084285670,4580939574088820,4137699661740260,217171532204429,4,1997
Apartament Turistic Mur,1996-09-16 22:00:00+00:00,C Rambla,34,2,el Barri Gòtic,1,Ciutat Vella,8002,BARCELONA,Tel.,933182612,0,431086654996863,4581146914136170,4137889399417270,21758595087789300,9,1996
Residencia Estudiants Nuestra Senora de la Consolacion,1996-09-17 22:00:00+00:00,Ptge Concepció,8,7,la Dreta de l'Eixample,2,Eixample,8008,BARCELONA,Tel.,934880756,0,42978926424037104,4582926501503730,4139480997705710,21601392436740900,9,1996
Residencia del Cor de Jesus,1996-08-25 22:00:00+00:00,Alt de Gironella,7,24,les Tres Torres,5,Sarrià-Sant Gervasi,8017,BARCELONA,Tel.,932035459,0,4272549088656720,458294163882034,41394721057495504,21298247651935100,8,1996
Residencia Talitha,1998-12-13 23:00:00+00:00,Rda Sant Pere,25,7,la Dreta de l'Eixample,2,Eixample,8010,BARCELONA,Tel.,615334201,0,4309923786643220,4582361955259320,41389829424597200,21745937761302100,12,1998
Alternative Creative Youth Hostel ,2002-06-06 13:12:59+00:00,Rda Universitat,17,7,la Dreta de l'Eixample,2,Eixample,8007,BARCELONA,Tel.,635669021,0,4303065403993250,458202935936402,4138677470817270,21664294981305600,6,2002
Residencia Madre Isabel Larranaga,1996-09-16 22:00:00+00:00,Via Augusta,289,24,les Tres Torres,5,Sarrià-Sant Gervasi,8017,BARCELONA,Tel.,932032362,0,42717620555948896,4583269750602710,4139766909750090,21288439622628400,9,1996
Residencia e Institucion Javeriana,1996-09-16 22:00:00+00:00,C Avellà,1,4,"Sant Pere, Santa Caterina i la Ribera",1,Ciutat Vella,8003,BARCELONA,Tel.,933191753,0,43124802727336896,4581902572794010,4138571379676800,217770344504899,9,1996
Residencias Universitarias San Marius,2002-06-22 12:28:00+00:00,C Muntaner,507,25,Sant Gervasi - la Bonanova,5,Sarrià-Sant Gervasi,8022,BARCELONA,Tel.,934174802,0,4278695316862150,4583905919546480,4140346129945540,213706118580056,6,2002
Residencia Universitaria Lesseps,2000-05-24 22:00:00+00:00,Pl Lesseps,12,31,la Vila de Gràcia,6,Gràcia,8023,BARCELONA,Tel.,932384802,0,42905087312522304,4584305800896760,41407167997379400,215114588580802,5,2000
Residencia Universitaria La Ciutadella,2000-05-24 22:00:00+00:00,Pg Pujades,33,66,el Parc i la Llacuna del Poblenou,10,Sant Martí,8018,BARCELONA,Tel.,932384802,0,4319567512538250,4582545392664970,4139156375297390,21861069897418600,5,2000
Residencia d'Estudiants Roca,1996-09-16 22:00:00+00:00,C Ciutat de Balaguer,65,25,Sant Gervasi - la Bonanova,5,Sarrià-Sant Gervasi,8022,BARCELONA,Tel.,932127592,0,4275674285828470,4584083799747190,4140503622908700,2133426059951280,9,1996
Collegi Major Ramon Llll,1992-02-17 23:00:00+00:00,C Comte d'Urgell,187,9,la Nova Esquerra de l'Eixample,2,Eixample,8036,BARCELONA,Tel.,933633580,0,42878777213170496,4582175602620500,41387958851510000,214824894371729,2,1992
Residencia Estudiants Lumen,1996-09-17 22:00:00+00:00,C Còrsega,390,7,la Dreta de l'Eixample,2,Eixample,8037,BARCELONA,Tel.,934578354,0,4300837072685260,4583458186378320,4139962433133780,2163599617066900,9,1996
Residencia Emilie de Villeneuve,1996-09-17 22:00:00+00:00,Marquesa de Vilallonga,19,25,Sant Gervasi - la Bonanova,5,Sarrià-Sant Gervasi,8017,BARCELONA,Tel.,932113629,0,42699344013091504,4584212331370360,41406141934781504,212654419508824,9,1996
Collegi Major Universitari Lestonnac,1996-09-16 22:00:00+00:00,C Aragó,284,7,la Dreta de l'Eixample,2,Eixample,8007,BARCELONA,Tel.,932159912,0,43025588175680496,4582680435000890,4139263434154310,2165748690331660,9,1996
Collegi  Major Penyafort ,1991-03-05 23:00:00+00:00,Av Diagonal,639,20,la Maternitat i Sant Ramon,4,Les Corts,8028,BARCELONA,Tel.,932162700,0,4265575198394580,4582040345463200,4138654011464970,2121592832023460,3,1991
Collegi Major Bonaigua,2002-05-09 08:29:32+00:00,C Jiménez i Iglesias,3,21,Pedralbes,4,Les Corts,8034,BARCELONA,Tel.,932049108,0,42659952038782304,4582239160532340,41388334590217200,21220710330939100,5,2002
Collegi Major Pedralbes,2002-05-09 08:29:32+00:00,Av Pearson,27,21,Pedralbes,4,Les Corts,8034,BARCELONA,Tel.,932806313,0,4253376405326120,4582781991959850,4139310748057850,2106912763507360,5,2002
Alberg Generator Barcelona ,2013-04-09 09:57:41+00:00,C Còrsega,373,31,la Vila de Gràcia,6,Gràcia,8037,BARCELONA,Tel.,932200377,0,43000252506737200,45834098678328200,4139918207998620,2162634129795990,4,2013
Alberg Blue Barcelona 1 ,2015-07-20 15:02:24+00:00,Via Augusta,65,26,Sant Gervasi - Galvany,5,Sarrià-Sant Gervasi,8006,BARCELONA,Tel.,936762927,0,4290568802300680,4583531570448700,41400195331805696,21513084906921500,7,2015
Alberg Bruc & Bruc ,2015-07-20 15:21:24+00:00,C Mallorca,290,7,la Dreta de l'Eixample,2,Eixample,8037,BARCELONA,Tel.,937687382,0,43029999223984896,4583106546853010,4139647601191100,21662272248911600,7,2015
Alberg Casa Kessler Barcelona A ,2015-07-20 15:41:34+00:00,C Enric Granados,30,8,l'Antiga Esquerra de l'Eixample,2,Eixample,8008,BARCELONA,Tel.,935285742,0,4297075711372360,4582433543296170,41390362938090800,2159219345849340,7,2015
Alberg Diagonal House ,2015-07-20 15:56:38+00:00,Av Diagonal,436,7,la Dreta de l'Eixample,2,Eixample,8037,BARCELONA,Tel.,935313240,0,4299091910177680,4583200942851420,4139729223583140,2161541893535500,7,2015
District Hostel One Parall ,2015-07-20 15:59:35+00:00,C Salvà,62,11,el Poble-sec,3,Sants-Montjuïc,8004,BARCELONA,Tel.,934439885,0,4301853529118350,4580417551071220,4137224714977900,21651658564138500,7,2015
Alberg Hip Karma ,2015-07-20 16:33:21+00:00,Rda Sant Pere,39,7,la Dreta de l'Eixample,2,Eixample,8010,BARCELONA,Tel.,933021159,0,43114228819236000,4582434721579890,41390497656042400,2176378407132330,7,2015
Hip Hostel Barcelona ,2015-07-20 16:36:20+00:00,C Torrent de l'Olla,98,31,la Vila de Gràcia,6,Gràcia,8012,BARCELONA,Tel.,932108675,0,4296577333676620,4583648514433600,41401301394174704,21584821528087700,7,2015
Hola Hostal ,2015-07-20 16:41:06+00:00,C Nàpols,149,7,la Dreta de l'Eixample,2,Eixample,8013,BARCELONA,Tel.,936242331,0,43122210927113400,4583146139655580,41396912008150600,2177252274574290,7,2015
Alberg Hostel One Sants ,2015-07-20 16:44:41+00:00,C Casteràs,9,17,Sants - Badal,3,Sants-Montjuïc,8028,BARCELONA,Tel.,933324192,0,4272798221123790,458068013089515,41374354823178800,2130394175226600,7,2015
Paraiso Travellers Hostel ,2015-07-21 07:15:56+00:00,Rda Sant Pau,55,10,Sant Antoni,2,Eixample,8015,BARCELONA,Tel.,933 299 378,0,4301384202481050,4580996171412950,413774545320778,2164538014168940,7,2015
Hostel Plaza Catalunya ,2015-07-21 07:20:19+00:00,C Diputació,251,7,la Dreta de l'Eixample,2,Eixample,8007,BARCELONA,Tel.,934 675 078,0,4301979034019560,4582286707830450,4138908314200070,21651006213809400,7,2015
Apartament Turistic Gutenberg ,2015-07-28 07:36:52+00:00,Ptge Gutenberg,7,1,el Raval,1,Ciutat Vella,8001,BARCELONA,Tel.,933027111,0,43098854599531200,4580929957233910,4137693151786690,21747110351465600,7,2015
Apartament Turistic Villa Sagrada ,2015-07-28 08:28:27+00:00,Ptge Vilaret,13,6,la Sagrada Família,2,Eixample,8013,BARCELONA,Tel.,616263099,0,4314773525826150,4584168866732390,41406145179341504,21801895288956800,7,2015
After Hostel ,2015-07-17 14:51:13+00:00,C Enric Granados,52,8,l'Antiga Esquerra de l'Eixample,2,Eixample,8008,BARCELONA,Tel.,934518541,0,42959361222050096,4582549903137160,4139140098320630,21578428777063400,7,2015
Amistat Beach Hostel ,2015-07-17 15:03:27+00:00,C Amistat,21,68,el Poblenou,10,Sant Martí,8005,BARCELONA,Tel.,932213281,0,433615987937311,4583508862595830,4140038014802330,2205846319539560,7,2015
Art City Hostel ,2015-07-17 15:12:13+00:00,Rbla Catalunya,64,7,la Dreta de l'Eixample,2,Eixample,8007,BARCELONA,Tel.,934880771,0,4300370829082130,4582560340127380,4139153368405100,21631456461337800,7,2015
Alberg Backpackers BCN ,2015-07-20 14:09:31+00:00,C Diputació,323,7,la Dreta de l'Eixample,2,Eixample,8009,BARCELONA,Tel.,934880280,0,4307157922635290,4582794778979890,4139370395224820,2171236321091640,7,2015
Barcelo Hostel 2 ,2015-07-20 14:18:21+00:00,C Còrsega,226,8,l'Antiga Esquerra de l'Eixample,2,Eixample,8036,BARCELONA,Tel.,936677806,0,42925410950062496,4582642738160560,4139220732372950,2153771538980090,7,2015
Centre d’Acollida del Baix Guinardo per a la Recuperacio de Persones Sense Llar amb Addiccions,2000-03-03 23:00:00+00:00,C Cartagena,369,33,el Baix Guinardó,7,Horta-Guinardó,8025,BARCELONA,,,0,4307405755728330,4584980770665780,414133945749664,21712826219252300,3,2000
Apartament Turistic Atenea Calabria ,1996-09-16 22:00:00+00:00,C Calàbria,129,9,la Nova Esquerra de l'Eixample,2,Eixample,8015,BARCELONA,Tel.,934264228,0,4291952433352350,4581395340320560,4138096727220520,21532132712982200,9,1996
Pars Teatro Hostel ,2007-11-02 09:47:04+00:00,C Albareda,12,11,el Poble-sec,3,Sants-Montjuïc,8004,BARCELONA,Tel.,934439466,0,4309299226365300,4580583346605560,4137380466601040,21740495391710600,11,2007
Alberg Juvenil Alberguinn ,2007-11-02 10:08:47+00:00,C Melcior de Palau,70,18,Sants,3,Sants-Montjuïc,8014,BARCELONA,Tel.,934905965,0,427640599476421,4581273219183290,4137972906212520,2134637162834470,11,2007
Alberg Kabul ,1996-09-17 22:00:00+00:00,Pl Reial,17,2,el Barri Gòtic,1,Ciutat Vella,8002,BARCELONA,Tel.,933 185 190,0,4310395634355070,4581240772210450,413797353120014,21752857129194900,9,1996
Residencia Esclavas del Sagrado Corazon de Jesus,1996-09-17 22:00:00+00:00,Mallorca,234,7,la Dreta de l'Eixample,2,Eixample,8008,BARCELONA,Tel.,932152584,0,4298225759767840,4582638156323720,4139221585974740,21605710905377100,9,1996
Congregacion Religiosa Hijas de San Jose,1988-03-21 23:00:00+00:00,C Ganduxer,98,25,Sant Gervasi - la Bonanova,5,Sarrià-Sant Gervasi,8022,BARCELONA,Tel.,934176250,0,4275812825641090,4583545422000820,4140018853748980,2133656197170810,3,1988
Collegi Major Sagrat Cor,1996-09-17 22:00:00+00:00,C Hort de la Vila,46,24,les Tres Torres,5,Sarrià-Sant Gervasi,8017,BARCELONA,Tel.,932065500,0,4269195890118120,4583459329698180,41399353272557600,2125751641669210,9,1996
Residencia d'Estudiants Mare Guell,1996-09-17 22:00:00+00:00,C Esperança,5,25,Sant Gervasi - la Bonanova,5,Sarrià-Sant Gervasi,8017,BARCELONA,Tel.,934172003,0,4269143829595080,4583933112076220,4140361994785620,21256321704762900,9,1996
Residencia TSH Campus Marina,2009-10-15 08:53:34+00:00,C Sancho de Avila,22,66,el Parc i la Llacuna del Poblenou,10,Sant Martí,8018,BARCELONA,Informació i reserves,933099830,0,43216764807144600,4583203389288110,4139750795527430,21885556657336600,10,2009
Collegi Major Sant Jordi,1985-02-03 23:00:00+00:00,Ptge Ricard Zamora,1,24,les Tres Torres,5,Sarrià-Sant Gervasi,8017,BARCELONA,Tel.,932016600,0,4275590679652390,4582684660392650,4139243401396330,2133493448491380,2,1985
Alberg Pere Tarres ,1988-02-14 23:00:00+00:00,C Numància,149,19,les Corts,4,Les Corts,8029,BARCELONA,Tel.,934102309,0,4275839848262680,4582205212075890,4138811806097090,213384878071623,2,1988
Collegi Major La Salle,2002-05-09 08:29:32+00:00,C Reus,20,25,Sant Gervasi - la Bonanova,5,Sarrià-Sant Gervasi,8022,BARCELONA,Tel.,932110228,0,4276643546375160,4584101256597700,414052021827058,213458345743599,5,2002
Apartament Turistic Senator ,1984-05-29 22:00:00+00:00,Via Augusta,167,26,Sant Gervasi - Galvany,5,Sarrià-Sant Gervasi,8021,BARCELONA,Centraleta,932011405,0,42833461228653104,4583349184075380,4139848859845510,2142690522392800,5,1984
Institucio Xaveriana,1996-08-22 22:00:00+00:00,C Avellà,1,4,"Sant Pere, Santa Caterina i la Ribera",1,Ciutat Vella,8003,BARCELONA,Tel.,933150810,0,43124802727336896,4581902572794010,4138571379676800,217770344504899,8,1996
Residencia Estudiants C.R. Bonanova,1996-09-17 22:00:00+00:00,C Camp,75,25,Sant Gervasi - la Bonanova,5,Sarrià-Sant Gervasi,8022,BARCELONA,Tel.,934175221,0,427713959176832,4584002586570540,414043179655325,2135188640282120,9,1996
Casa Marsans ,1988-02-14 23:00:00+00:00,Pg Mare de Déu del Coll,41,28,Vallcarca i els Penitents,6,Gràcia,8023,BARCELONA,Tel.,932105151,0,4287030382911400,4585310873024360,41416189496832096,21468663071393700,2,1988
Alberg Safestay  Gothic ,2003-08-08 07:06:38+00:00,C Vigatans,5,4,"Sant Pere, Santa Caterina i la Ribera",1,Ciutat Vella,8003,BARCELONA,Tel.,932687808,0,431414634688965,4581729927512670,4138417305255410,21797154727699700,8,2003
Alberg Bed And Bike ,2015-07-20 14:50:43+00:00,C Diputació,360,7,la Dreta de l'Eixample,2,Eixample,8013,BARCELONA,Tel.,933158721,0,4311370880913520,4583175277354050,4139716716580510,21762320053769500,7,2015
Black Swan Hostel ,2015-07-20 14:58:27+00:00,C Alí Bei,15,7,la Dreta de l'Eixample,2,Eixample,8010,BARCELONA,Tel.,932311369,0,4312479051475010,4582524375726640,413913141786265,21776314121759200,7,2015
Alberg  Don Moustache! ,2015-07-20 15:12:35+00:00,C Girona,33,7,la Dreta de l'Eixample,2,Eixample,8010,BARCELONA,Tel.,936672473,0,43095597895816200,45826541384011200,4139245790315940,2174125132503210,7,2015
Born Barcelona Hostel ,2015-07-20 15:15:51+00:00,Rda Sant Pere,68,7,la Dreta de l'Eixample,2,Eixample,8010,BARCELONA,Tel.,935323663,0,43134429221625296,45824971420119400,41391077126297600,21787873059471200,7,2015
Break N'Bed Hostel ,2015-07-20 15:17:26+00:00,C Ricart,20,11,el Poble-sec,3,Sants-Montjuïc,8004,BARCELONA,Tel.,932777763,0,42959338562781504,4580614104029540,4137396587170010,21580650943654200,7,2015
Jam Hostel ,2015-07-20 16:55:23+00:00,C Montmany,38,31,la Vila de Gràcia,6,Gràcia,8012,BARCELONA,Tel.,933155338,0,42976736122321600,4584028642749090,41404734655287904,21597494117230700,7,2015
Mellow Hostel Barcelona ,2015-07-21 06:43:13+00:00,C Aguilar,52,36,la Font d'en Fargues,7,Horta-Guinardó,8032,BARCELONA,Tel.,934294533,0,43053449128606400,4586377686007420,41425958288821000,2168656545906590,7,2015
No Limit Hostel Central ,2015-07-21 07:11:25+00:00,C Consell de Cent,355,7,la Dreta de l'Eixample,2,Eixample,8007,BARCELONA,Tel.,932506846,0,43031674818367904,4582591507881040,4139183868041080,2166486907790430,7,2015
Residencia Teatinas Immaculada Concepcio,1996-09-17 22:00:00+00:00,Doctor Rizal,6,31,la Vila de Gràcia,6,Gràcia,8006,BARCELONA,Tel.,932374961,0,42946786229441904,45832572092108000,4139776041751580,2156256512071550,9,1996
Hostel Rodamon Barcelona Centre ,2015-07-21 07:47:40+00:00,C Còrsega,302,7,la Dreta de l'Eixample,2,Eixample,8008,BARCELONA,Tel.,932 171 944,0,4296460626108230,4583027772486040,413957095738376,21584146773896600,7,2015
Saint Christopher's Hostel ,2015-07-21 07:57:25+00:00,C Bergara,3,7,la Dreta de l'Eixample,2,Eixample,8002,BARCELONA,Tel.,936 674 588,0,4304137883718100,4581956817094,4138613062772510,21677204427401300,7,2015
Sant Jordi Hostel ,2015-07-21 08:02:11+00:00,C Roger de Llúria,40,7,la Dreta de l'Eixample,2,Eixample,8009,BARCELONA,Tel.,933 023 901,0,43065250291600496,4582613270737740,4139206371135130,21705001263052900,7,2015
Sant Jordi Hostel Gracia ,2015-07-21 08:05:09+00:00,C Terol,35,31,la Vila de Gràcia,6,Gràcia,8012,BARCELONA,Tel.,933 424 161,0,4296507293905150,4583864735323340,4140324820379120,2158373243813880,7,2015
Sant Jordi Hostel Rock Palace ,2015-07-21 08:08:14+00:00,C Balmes,75,8,l'Antiga Esquerra de l'Eixample,2,Eixample,8007,BARCELONA,Tel.,934 533 281,0,42985392671271400,458244329623141,4139046355664170,21609686220088500,7,2015
Tailor's Hostel ,2015-07-21 08:47:20+00:00,C Sepúlveda,146,10,Sant Antoni,2,Eixample,8011,BARCELONA,Tel.,932 505 684,0,429810233342255,4581461261805420,41381614890387600,2160559824162900,7,2015
Toc Hostel Barcelona ,2015-07-21 09:39:30+00:00,G.V. Corts Catalanes,580,10,Sant Antoni,2,Eixample,8011,BARCELONA,Tel.,934 534 425,0,4299762416554020,458181137442298,4138478270570680,2162504549676390,7,2015
360 Hostel Arts & Culture ,2015-07-21 10:12:16+00:00,Rda Sant Pere,56,7,la Dreta de l'Eixample,2,Eixample,8010,BARCELONA,Tel.,935 305 677,0,43124221421842800,4582447958471070,41390625425176304,21775720225213900,7,2015
Rocket Hostels Gracia ,2015-02-18 11:12:59+00:00,C Mare de Déu del Coll,59,28,Vallcarca i els Penitents,6,Gràcia,8023,BARCELONA,Tel.,934431310,0,428833374169967,4584627410715110,4141004538251150,21485061244936700,2,2015
Hostal Hostel One Ramblas ,2015-02-18 11:15:51+00:00,C Albareda,6,11,el Poble-sec,3,Sants-Montjuïc,8004,BARCELONA,Tel.,934 431 310,0,43094584448301000,4580576916671580,4137374811974700,2174240648489300,2,2015
Dream Cube Hostel ,2015-02-18 11:19:23+00:00,Av Sarrià,67,19,les Corts,4,Les Corts,8029,BARCELONA,Tel.,933154828,0,4281875468973850,4582496926358330,41390799528863800,2141032481695500,2,2015
Residencia Nikbor,1996-09-17 22:00:00+00:00,Pg Gràcia,114,31,la Vila de Gràcia,6,Gràcia,8008,BARCELONA,Tel.,932172700,0,4297245468157900,4583182691991130,41397111741341696,21593354417664700,9,1996
Josefines de la Caritat,1996-08-25 22:00:00+00:00,Av Príncep d'Astúries,42,31,la Vila de Gràcia,6,Gràcia,8012,BARCELONA,Tel.,932172742,0,4289890997967080,4583967234185450,41404113204396800,2150446614062420,8,1996
Residencia  Universitaria Sant Agusti,1996-09-17 22:00:00+00:00,C Hospital,23,1,el Raval,1,Ciutat Vella,8001,BARCELONA,Tel.,934127802,0,4308034437026900,4581379862804630,4138096778793880,2172446301120370,9,1996
Hostal New York ,1996-09-17 22:00:00+00:00,C Gignàs,6,2,el Barri Gòtic,1,Ciutat Vella,8002,BARCELONA,Tel.,933 150 304,0,4314013248988870,4581334978364560,41380614723867104,2179601014098390,9,1996
Residencia Universitaria Sarria,1999-05-10 22:00:00+00:00,Esports,1,23,Sarrià,5,Sarrià-Sant Gervasi,8017,BARCELONA,Tel.,932065540,0,42570881371619800,4583730014794270,41401680248487104,2111235787328660,5,1999
Barcelona Residencias,1998-09-01 22:00:00+00:00,C Sardenya,326,6,la Sagrada Família,2,Eixample,8025,BARCELONA,Tel.,934367739,0,4308606806221680,4583930270933710,41403943425731904,217283960547143,9,1998
Residencia Universitaria Mare Anna Ravell,1996-09-17 22:00:00+00:00,Santaló,35,26,Sant Gervasi - Galvany,5,Sarrià-Sant Gervasi,8021,BARCELONA,Tel.,932095042,0,4285887208862490,4583024984291600,4139559126396920,21457682502398000,9,1996
Alberg Equity Point Centric ,2006-07-06 08:39:45+00:00,Pg Gràcia,33,7,la Dreta de l'Eixample,2,Eixample,8007,BARCELONA,Tel.,932156538,0,4302713606455880,4582491182850520,4139093115243650,21659556118801300,7,2006
Alberg Juvenil Mambo Tango ,2007-11-02 10:50:24+00:00,C Poeta Cabanyes,23,11,el Poble-sec,3,Sants-Montjuïc,8004,BARCELONA,Tel.,934425164,0,4302287154471900,4580624504059750,4137411487282160,2165660508871560,11,2007
Club d'enginyers Collegi Major Monterols,1985-02-03 23:00:00+00:00,C Corint,3,26,Sant Gervasi - Galvany,5,Sarrià-Sant Gervasi,8006,BARCELONA,Tel.,932014777,0,42831269439218000,4583853006156750,41403024368184704,21423686941623000,2,1985
Residencia Erasmus Gracia,2006-11-28 09:44:05+00:00,C Torrent de l'Olla,212,31,la Vila de Gràcia,6,Gràcia,8012,BARCELONA,Tel.,934151203,0,4292067606392230,4584171429239760,4140597150739420,215302648719079,11,2006
Residencia Adriano,1998-12-13 23:00:00+00:00,C Muntaner,447,26,Sant Gervasi - Galvany,5,Sarrià-Sant Gervasi,8021,BARCELONA,Tel.,932016860,0,4280920385749960,4583669914895580,4140135563470430,21397509116723300,12,1998
Residencia Universitaria Aleu,2019-07-10 10:22:44+00:00,C Pau Gargallo,30,20,la Maternitat i Sant Ramon,4,Les Corts,8028,BARCELONA,Tel.,931440140,0,4262253301278860,45817694380345000,4138406977296690,211765312295715,7,2019
Residencia Salesiana Marti Codolar,2015-10-08 11:48:14+00:00,Av Cardenal Vidal i Barraquer,15,41,la Vall d'Hebron,7,Horta-Guinardó,8035,BARCELONA,Tel.,934291803,0,42905121062411104,4586668016870450,41428443543752600,2150872845796380,10,2015
Residencia Estudiants,1997-10-12 22:00:00+00:00,Roman Macaya,14,25,Sant Gervasi - la Bonanova,5,Sarrià-Sant Gervasi,8022,BARCELONA,Tel.,934176391,0,4277995921228600,4585037905493810,4141365033443300,2136089493246070,10,1997
Barcelona Sport Hostels ,2015-07-20 14:40:28+00:00,C Perill,26,31,la Vila de Gràcia,6,Gràcia,8012,BARCELONA,Tel.,933803570,0,4299480635844230,4583468119253360,4139970198704680,2161975944733950,7,2015
Bed & Art Hostel ,2015-07-20 14:48:12+00:00,Rda Sant Pere,25,7,la Dreta de l'Eixample,2,Eixample,8010,BARCELONA,Tel.,931797343,0,43099237166439104,458236195225935,4138982939697680,21745936927535200,7,2015
Alberg Blue Barcelona 2 ,2015-07-20 15:04:22+00:00,Via Augusta,65,26,Sant Gervasi - Galvany,5,Sarrià-Sant Gervasi,8006,BARCELONA,Tel.,936762927,0,4290568802300680,4583531570448700,41400195331805696,21513084906921500,7,2015
Casa Gracia Barcelona Hostel ,2015-07-20 15:39:12+00:00,Pg Gràcia,116,31,la Vila de Gràcia,6,Gràcia,8008,BARCELONA,Tel.,931874497,0,42970732597915904,4583201692802200,41397281369714400,2159127254347300,7,2015
Alberg Casa Kessler Barcelona B ,2015-07-20 15:45:21+00:00,C Enric Granados,30,8,l'Antiga Esquerra de l'Eixample,2,Eixample,8008,BARCELONA,Tel.,935285742,0,4297075711372360,4582433543296170,41390362938090800,2159219345849340,7,2015
Alberg Coroleu House ,2015-07-20 15:50:27+00:00,C Coroleu,33,60,Sant Andreu,9,Sant Andreu,8030,BARCELONA,Tel.,932745757,0,43210263391141200,4587129087004000,4143285997165650,21873374028771500,7,2015
Alberg The Loft Hostel Barcelona ,2015-07-20 16:12:52+00:00,C Provença,318,7,la Dreta de l'Eixample,2,Eixample,8037,BARCELONA,Tel.,934 961 874,0,43010406914449504,45831028008491104,4139642526737330,21638842045378500,7,2015
Alberg Factory Petit ,2015-07-20 16:14:49+00:00,C Molist,5,30,la Salut,6,Gràcia,8024,BARCELONA,Tel.,932852256,0,42951050153971200,4584882471370060,4141240228424030,21565772521745900,7,2015
Residencia d'estudiants Anglus,1997-10-17 22:00:00+00:00,Aribau,152,8,l'Antiga Esquerra de l'Eixample,2,Eixample,8036,BARCELONA,Tel.,932373283,0,42932051285621296,4582638232218400,4139217257860820,2154566266948800,10,1997
Residencia Universitaria Elisabets,1996-09-17 22:00:00+00:00,Elisabets,19,1,el Raval,1,Ciutat Vella,8001,BARCELONA,Tel.,933178518,0,43044171817137104,4581613095454090,4138303725102260,21680939215046900,9,1996
